Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C7, C8, C9",0805,7,CL21B104KBCNNNC,
"C13, C2, C3, C4, C5",CP_Elec_6.3x5.4,5,FVH016ADA101M0654,
C6,0805,1,CC0805JRNPO9BN271,
"D1, D2, D3, D4",D_SMA,4,C437199,
"F1, F2",1206,2,SMD1206P025TF,
J1,JST_XH_S10B-XH-A-1_1x10_P2.50mm_Horizontal,1,S10B-XH-A-1(LF)(SN),
"J2, J3, J4",JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,3,S3B-XH-A-1(LF)(SN),
"J5, J6",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,2,S2B-XH-A-1(LF)(SN),
J7,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,BM02B-GHS-TBT(LF)(SN),
"L1, L2",L_7.3x7.3_H4.5,2,SMDRI74-330MT,
R1,0805,1,0805W8J0102T5E,
R2,0805,1,0805W8F6801T5E,
"R3, R4",0805,2,0805W8F2701T5E,
R5,0805,1,0805W8F1800T5E,
R6,0805,1,0805W8F330LT5E,
U1,TO-263-5_TabPin3,1,LM2596S-5.0,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063ADR2G,
U3,XDCR_MMC5603NJ,1,MMC5603NJ,
U4,QFN40P300X300X90-21N,1,TMC6300-LA,
U5,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017T-E/ML,
